"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 22:14:39 GMT 2022","Tue Sep 27 22:14:44 GMT 2022","4917","chromium","","","","","Authorization on site using valid cred",""
"passed","Tue Sep 27 22:15:14 GMT 2022","Tue Sep 27 22:15:17 GMT 2022","2694","opera","","","","","Checking filter headers",""
"passed","Tue Sep 27 22:15:12 GMT 2022","Tue Sep 27 22:15:14 GMT 2022","2491","opera","","","","","Check login without entering any cred",""
"passed","Tue Sep 27 22:14:44 GMT 2022","Tue Sep 27 22:14:47 GMT 2022","2732","chromium","","","","","Check login without entering pass",""
"passed","Tue Sep 27 22:14:47 GMT 2022","Tue Sep 27 22:14:50 GMT 2022","2945","chromium","","","","","Check login without entering any cred",""
"passed","Tue Sep 27 22:15:41 GMT 2022","Tue Sep 27 22:15:43 GMT 2022","2478","Google Chrome","","","","","Check login without entering any cred",""
"passed","Tue Sep 27 22:15:09 GMT 2022","Tue Sep 27 22:15:12 GMT 2022","2540","opera","","","","","Check login without entering pass",""
"passed","Tue Sep 27 22:15:43 GMT 2022","Tue Sep 27 22:15:46 GMT 2022","2584","Google Chrome","","","","","Checking filter headers",""
"passed","Tue Sep 27 22:15:38 GMT 2022","Tue Sep 27 22:15:41 GMT 2022","2515","Google Chrome","","","","","Check login without entering pass",""
"passed","Tue Sep 27 22:14:52 GMT 2022","Tue Sep 27 22:15:04 GMT 2022","11874","chromium","","","","","Check sorting by filter names",""
"passed","Tue Sep 27 22:15:23 GMT 2022","Tue Sep 27 22:15:38 GMT 2022","15783","Google Chrome","","","","","Authorization on site using valid cred",""
"passed","Tue Sep 27 22:14:50 GMT 2022","Tue Sep 27 22:14:52 GMT 2022","2726","chromium","","","","","Checking filter headers",""
"passed","Tue Sep 27 22:15:17 GMT 2022","Tue Sep 27 22:15:22 GMT 2022","4846","opera","","","","","Check sorting by filter names",""
"passed","Tue Sep 27 22:15:05 GMT 2022","Tue Sep 27 22:15:09 GMT 2022","4538","opera","","","","","Authorization on site using valid cred",""
"passed","Tue Sep 27 22:15:46 GMT 2022","Tue Sep 27 22:15:51 GMT 2022","4574","Google Chrome","","","","","Check sorting by filter names",""
