"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 25 18:29:50 EEST 2022","Sun Sep 25 18:29:55 EEST 2022","4660","opera","test.js","","","","Check sorting by filter names",""
"passed","Sun Sep 25 18:29:53 EEST 2022","Sun Sep 25 18:29:56 EEST 2022","2637","Google Chrome","test.js","","","","Check login without entering pass",""
"passed","Sun Sep 25 18:29:49 EEST 2022","Sun Sep 25 18:29:53 EEST 2022","3356","opera","test.js","","","","Check login without entering pass",""
"passed","Sun Sep 25 18:29:35 EEST 2022","Sun Sep 25 18:29:39 EEST 2022","3209","chromium","test.js","","","","Check login without entering pass",""
"passed","Sun Sep 25 18:29:49 EEST 2022","Sun Sep 25 18:29:52 EEST 2022","2929","opera","test.js","","","","Checking filter headers",""
"passed","Sun Sep 25 18:29:35 EEST 2022","Sun Sep 25 18:29:42 EEST 2022","6766","chromium","test.js","","","","Check sorting by filter names",""
"failed","Sun Sep 25 18:29:35 EEST 2022","Sun Sep 25 18:29:43 EEST 2022","7625","firefox","test.js","","","","Authorization on site using valid cred",""
"passed","Sun Sep 25 18:29:42 EEST 2022","Sun Sep 25 18:29:50 EEST 2022","7768","firefox","test.js","","","","Check sorting by filter names",""
"passed","Sun Sep 25 18:29:40 EEST 2022","Sun Sep 25 18:29:46 EEST 2022","5864","firefox","test.js","","","","Check login without entering pass",""
"passed","Sun Sep 25 18:29:52 EEST 2022","Sun Sep 25 18:29:54 EEST 2022","2789","Google Chrome","test.js","","","","Check login without entering any cred",""
"passed","Sun Sep 25 18:29:35 EEST 2022","Sun Sep 25 18:29:39 EEST 2022","3373","chromium","test.js","","","","Check login without entering any cred",""
"passed","Sun Sep 25 18:29:41 EEST 2022","Sun Sep 25 18:29:47 EEST 2022","5946","firefox","test.js","","","","Checking filter headers",""
"passed","Sun Sep 25 18:29:40 EEST 2022","Sun Sep 25 18:29:46 EEST 2022","6271","firefox","test.js","","","","Check login without entering any cred",""
"passed","Sun Sep 25 18:29:35 EEST 2022","Sun Sep 25 18:29:40 EEST 2022","4407","chromium","test.js","","","","Authorization on site using valid cred",""
"passed","Sun Sep 25 18:29:46 EEST 2022","Sun Sep 25 18:29:50 EEST 2022","3701","opera","test.js","","","","Check login without entering any cred",""
"passed","Sun Sep 25 18:29:45 EEST 2022","Sun Sep 25 18:29:50 EEST 2022","4793","opera","test.js","","","","Authorization on site using valid cred",""
"passed","Sun Sep 25 18:29:35 EEST 2022","Sun Sep 25 18:29:38 EEST 2022","2830","chromium","test.js","","","","Checking filter headers",""
"passed","Sun Sep 25 18:29:51 EEST 2022","Sun Sep 25 18:29:55 EEST 2022","3774","Google Chrome","test.js","","","","Authorization on site using valid cred",""
"passed","Sun Sep 25 18:29:54 EEST 2022","Sun Sep 25 18:29:56 EEST 2022","2725","Google Chrome","test.js","","","","Checking filter headers",""
"passed","Sun Sep 25 18:29:54 EEST 2022","Sun Sep 25 18:29:58 EEST 2022","3722","Google Chrome","test.js","","","","Check sorting by filter names",""
